Subject,u,bin_resp,rts
1,1,0,5.94919462985431
1,1,1,6.0715934818343
1,1,1,5.64687414718733
1,1,0,5.37868463693301
1,0,1,5.29823286297457
1,1,1,5.45311269568196
1,1,1,5.21124471495232
1,1,1,5.3786957101922
1,1,1,5.21151796708529
1,0,1,5.21197485672957
1,1,0,5.29875027282984
1,0,1,5.37564573110433
1,1,1,5.11594260834127
1,1,1,5.21126217040899
1,1,1,5.45282826720522
1,1,1,5.52141211667097
1,1,1,5.21149179047294
1,1,0,5.37841284205837
1,0,1,5.37870447644977
1,1,1,5.45248161770961
1,1,1,5.37894528756514
1,1,1,5.52157611123131
1,0,1,5.37866756541014
1,0,0,5.70395779262523
1,0,0,5.58616380049189
1,0,0,5.52151571635605
1,0,0,5.37864218826851
1,0,0,5.45344628202805
1,0,1,5.37873308157137
1,0,1,5.45244133172786
1,0,1,5.75803862545005
1,1,1,5.5862631542236
1,1,1,5.80943684713261
1,1,0,5.45261532123888
1,1,1,5.58596206330007
1,0,1,5.21164665880034
1,0,1,5.21163738918735
1,0,0,5.29820536027221
1,1,0,5.21128235291272
1,0,0,5.29858083183808
1,1,1,5.29857583314105
1,0,1,5.80924338527299
1,1,1,5.37828637919927
1,1,1,5.80931147611833
1,1,1,5.37860573634996
1,1,1,5.45255190000526
1,1,1,5.52173488032927
1,0,1,5.5861735488412
1,1,1,6.50239386549677
1,1,1,5.80936726516062
1,0,NaN,NaN
1,0,1,6.03246972484861
1,1,0,5.85805143320517
1,0,1,5.7038284735944
1,0,1,5.80939725798804
1,0,1,5.52162010518841
1,0,1,5.64681133739789
1,0,1,5.58595193786831
1,1,0,5.58623391151107
1,0,0,6.24736237222851
1,1,0,5.80924728487627
1,0,0,5.75787695871431
1,0,0,5.37869617157919
1,0,1,6.27921780452605
1,0,0,5.45267659605736
1,1,0,5.64697893900991
1,0,0,5.70404510683484
1,0,0,5.52191961264678
1,0,0,5.2986488116135
1,0,0,5.37856789878216
1,0,0,5.45275457674527
1,0,0,5.45275714743784
1,0,0,5.37721495728621
1,0,0,5.4525638989171
1,1,0,5.45275114915529
1,1,0,5.21137562350061
1,0,1,5.7579912648514
1,1,1,5.70394712776919
1,1,1,5.45292979689178
1,0,0,5.21150487886477
1,1,0,5.58614542833953
1,0,1,5.64657947158162
1,0,1,5.75810050657411
1,1,1,5.45243104568553
1,0,1,5.29846485566998
1,1,0,5.85816969793244
1,1,0,5.37837684331294
1,0,1,5.29864981128922
1,0,1,5.29856783517928
1,1,1,5.37851160120549
1,0,1,5.37857343606926
1,1,1,5.45267059729162
1,0,0,5.29866630565798
1,1,0,5.29854184135492
1,0,0,6.64214815211497
1,0,0,5.52168369304722
1,0,1,5.37857758902706
1,0,0,5.37869155773332
1,0,0,5.646907667658
1,0,0,5.58618629654182
1,0,0,5.64678345987715
1,0,0,5.52143611755506
1,0,1,5.58605506245708
1,0,0,5.3786265002622
1,0,0,5.70388680255098
1,1,0,5.37882350528536
1,0,0,7.31318631984346
1,0,0,5.70394779432489
1,0,0,5.52147771771808
1,0,0,5.58630064363872
1,0,0,5.29831086652653
1,1,0,5.64676193366817
1,0,0,5.58588068194829
1,0,1,5.64688014566975
1,1,1,5.21192688766566
1,1,1,5.37853467436528
1,0,1,5.52141411676726
1,0,1,5.21140234855032
1,0,1,5.11607280679034
1,1,0,5.75801399821731
1,1,1,5.4525544712189
1,1,0,5.29827886580841
1,1,1,5.45275243449901
1,0,1,5.52164890019062
1,1,1,5.11640512597239
1,1,0,5.37884380335774
1,0,1,5.37859927637896
1,0,1,5.70374380724221
1,0,1,5.7041647349233
1,0,0,5.70365579996983
1,1,0,5.37853328998852
1,1,0,5.45257718327736
1,1,0,5.298132349429
1,0,0,5.90454162075443
1,1,0,6.03223742042468
1,0,0,6.14574664686945
1,1,0,6.10927580458658
1,0,0,5.52144091766275
1,0,1,5.85816769840383
1,0,0,6.18062412955615
1,1,0,6.07162924734085
1,1,1,5.52165849834044
1,0,1,5.45258789634005
1,1,1,5.01064062741717
1,1,1,5.70378814130509
1,0,1,5.29873627879383
1,1,1,5.45300004769653
1,0,1,5.29879925042282
1,1,NaN,NaN
1,1,1,6.55121604012098
1,1,1,5.90444644282502
1,1,1,5.29868629848733
1,1,1,5.52169968935342
1,0,1,5.29850784840422
1,1,1,5.37875476555135
1,1,1,5.75809450806106
1,1,1,5.29881674183573
1,1,1,5.21136035171304
1,1,1,5.29873627879383
1,1,1,5.45263031892253
2,1,0,5.45273958093289
2,1,0,6.45101861309199
2,1,1,5.99158403996795
2,1,1,5.75797610898702
2,0,1,5.75801431395438
2,1,0,6.03222998002945
2,1,1,6.39692815521482
2,1,1,5.80945274233566
2,1,1,5.85818455145243
2,0,0,5.75794042865175
2,1,0,5.85788972496935
2,0,1,5.64698423124333
2,1,1,5.90470250266869
2,1,1,6.07146194606144
2,1,1,5.58593468690176
2,1,0,5.85802800712859
2,1,0,5.85807428738085
2,1,1,5.64671676240182
2,0,1,5.52185883868139
2,1,0,6.10931380279256
2,1,1,5.80917198989153
2,1,1,5.64696835448151
2,0,1,5.7579836869508
2,0,1,5.90464469722911
2,0,0,6.2475326863576
2,0,0,5.70409542568299
2,0,1,5.70398378772434
2,0,0,5.80925358419827
2,0,0,5.75786622210594
2,0,0,5.94888214982195
2,0,0,5.90459125149471
2,1,0,5.94888293244701
2,1,1,6.2474814016319
2,1,1,5.90466514765019
2,1,0,6.0324279716267
2,0,0,6.14574750390193
2,0,0,6.27912968191548
2,0,0,6.27910136853609
2,1,0,5.80933697149774
2,0,1,5.99170576801079
2,1,0,6.24751507567418
2,0,1,5.94902666441058
2,1,1,5.90460052289738
2,1,1,6.45103755986974
2,1,1,6.07166201203725
2,1,1,6.18080867946228
2,1,0,5.99163228303811
2,0,1,6.574595530011
2,1,0,6.30997500388934
2,1,0,6.03230030153284
2,0,1,5.90466978302096
2,0,1,5.64673970118675
2,1,0,5.70370880527351
2,0,0,6.10944445227435
2,0,0,6.33987400080184
2,0,0,6.24739450188498
2,0,0,6.21462489828167
2,0,0,6.30998082172551
2,1,1,6.47708635639215
2,0,1,6.18091645574749
2,1,0,6.47705359035939
2,0,0,6.18068806381735
2,0,0,6.27923355328147
2,0,0,6.30996518621756
2,0,0,6.45107797846157
2,1,1,6.03241621322061
2,0,1,6.24748952995282
2,0,0,5.94901362243294
2,0,0,5.94894997515324
